tzWord,esWord,url,status
Yakooj,Ahorrar,https://v2.dictionary.tzutujil.org/words/667253a85a8ee2d55bcbc21a,Merged
Yakoneem,Ahorro,https://v2.dictionary.tzutujil.org/words/67bca0dba53da53fac256182,Created
Ruxula'juyu',Aire,https://v2.dictionary.tzutujil.org/words/67bca0dba53da53fac256183,Created
Xika',Alacrán,https://v2.dictionary.tzutujil.org/words/67bca0dba53da53fac256184,Created
K'amach'ijch',Alambre,https://v2.dictionary.tzutujil.org/words/67bca0dba53da53fac256185,Created
B'anol jaay,Albañil,https://v2.dictionary.tzutujil.org/words/66724d54363683929dba6b90,Merged
Ch'ob'ichaaj,Alcachofa,https://v2.dictionary.tzutujil.org/words/67bca0dba53da53fac256186,Created
K'amol b'eey,Alcalde,https://v2.dictionary.tzutujil.org/words/667254735a8ee2d55bcbc2d1,Merged
Ajch'ame'y,Alcalde auxiliar,https://v2.dictionary.tzutujil.org/words/66724d58363683929dba6b94,Merged
Jokaaj,Alcance de ambos puños,https://v2.dictionary.tzutujil.org/words/67bca0dba53da53fac256187,Created
Chipaaj,Alcance de dos dedo,https://v2.dictionary.tzutujil.org/words/6672555c5a8ee2d55bcbc3a2,Merged
chuyaaj,Alcance de los cuatro dedos,https://v2.dictionary.tzutujil.org/words/667257b25a8ee2d55bcbc5c3,Merged
Moq'aaj,Alcance del puño,https://v2.dictionary.tzutujil.org/words/67bca0dba53da53fac256188,Created
Juyu'b'al,Aldea,https://v2.dictionary.tzutujil.org/words/67b8a8a6b239fd045521da8b,Merged
Choltz'ijb',Alfabeto,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac256189,Created
B'o'j,Algodón,https://v2.dictionary.tzutujil.org/words/66724d57363683929dba6b93,Merged
Tzuqub'al,Alimentable,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac25618a,Created
Ilineem,Alimentación,https://v2.dictionary.tzutujil.org/words/667258915a8ee2d55bcbc68b,Merged
Tzuquun,Alimentado,https://v2.dictionary.tzutujil.org/words/66724d5a363683929dba6b95,Merged
tzuquneel,Alimentador,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac25618b,Created
netzuquuni,Alimentan,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac25618c,Created
Tzuquuj,Alimentar,https://v2.dictionary.tzutujil.org/words/66724d5b363683929dba6b96,Merged
uk'uyaa',Alimentos,https://v2.dictionary.tzutujil.org/words/667250595a8ee2d55bcbbf4d,Merged
Wa'achikopiil,Alimentos de origen animal,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac25618d,Created
Chupub'al,Almohadilla,https://v2.dictionary.tzutujil.org/words/66724fc55a8ee2d55bcbbede,Merged
Ruukaab' wa'ineem,Almorzar,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac25618e,Created
Ruukaab' wa'iim,Almuerzo,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac25618f,Created
Qaajik,Alquilar,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac256190,Created
Qajooj,Alquiler,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac256191,Created
nimaalaal,Altura,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac256192,Created
Champomal saqiil,Alumbrado público,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac256193,Created
tijoxeel,Alumno,https://v2.dictionary.tzutujil.org/words/67b8a8952f1b785c39fb02a6,Merged
Ajtijoxelaa',Alumnos,https://v2.dictionary.tzutujil.org/words/67bca0dca53da53fac256194,Created
K'ay,Amargo,https://v2.dictionary.tzutujil.org/words/66724f9b5a8ee2d55bcbbec0,Merged
Retamab'aliil kajuleew,Ambiente Natural,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac256195,Created
Xq'ajko'setul,América,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac256196,Created
Pooq',Ampollas de la ano,https://v2.dictionary.tzutujil.org/words/66724fa25a8ee2d55bcbbec6,Merged
Ch'ob'otzijob'al,Análisis Lingüsticos,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac256197,Created
Junuman naa'ooj,Analogía,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac256198,Created
Retamab'aliil ch'akulaal,Anatomía,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac256199,Created
Ruuwach,Ancho,https://v2.dictionary.tzutujil.org/words/66724fa45a8ee2d55bcbbec8,Merged
Ajsikirisaaneel,Anestesiólogo,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac25619a,Created
Tz'aqatiil,Anexión,https://v2.dictionary.tzutujil.org/words/66724fae5a8ee2d55bcbbecf,Merged
Ajraq'uleew,Anfibio,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac25619b,Created
Ajraq'uleew,Anfibios,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac25619b,Merged
Tzuk',Angulo,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac25619c,Created
Paya'il chikoj,Aniales acuáticos,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac25619d,Created
chikop,Animal,https://v2.dictionary.tzutujil.org/words/66724fb35a8ee2d55bcbbed2,Merged
ti'iij chikop,Animales carnívoros (J),https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac25619e,Created
Awaj tijko'm,Animales domésticos,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac25619f,Created
Ajichaaj chikop,Animales herbívoros,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac2561a0,Created
Ajti'ijiil,Animales invertebrados,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac2561a1,Created
K'olob'a'neelaa',Animales ovíparos,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac2561a2,Created
Kajapamaaj,Animales rumiantes,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac2561a3,Created
Aj pa juyu' chikop,Animales salvajes,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac2561a4,Created
